TS,Header
7/7/2015 0:00,688
7/7/2015 0:15,672
7/7/2015 0:30,672
7/7/2015 0:45,688
7/7/2015 1:00,100
7/7/2015 1:15,
7/7/2015 1:30,
7/7/2015 1:49,
7/7/2015 2:00,200
7/7/2015 2:15,336
7/7/2015 2:30,352
7/7/2015 2:45,352
7/7/2015 3:00,352
7/7/2015 3:15,336
7/7/2015 3:30,336
7/7/2015 3:45,336
7/7/2015 4:00,400
7/7/2015 4:15,544
7/7/2015 4:30,704
7/7/2015 4:45,688
7/7/2015 5:00,672
7/7/2015 5:15,672
7/7/2015 5:30,672
7/7/2015 5:45,672
7/7/2015 6:00,784
7/7/2015 6:15,720
7/7/2015 6:30,768
7/7/2015 6:45,992
7/7/2015 7:00,1008
7/7/2015 7:19,992
7/7/2015 7:30,992
7/7/2015 7:45,976
7/7/2015 8:00,960
7/7/2015 8:15,912
7/7/2015 8:30,848
7/7/2015 8:45,816
7/7/2015 9:00,848
7/7/2015 9:15,816
7/7/2015 9:30,800
7/7/2015 9:45,688
7/7/2015 10:00,528
7/7/2015 10:15,512
7/7/2015 10:30,368
7/7/2015 10:45,272
7/7/2015 11:00,304
7/7/2015 11:15,384
7/7/2015 11:30,336
7/7/2015 11:45,352
7/7/2015 12:00,368
7/7/2015 12:15,384
7/7/2015 12:30,368
7/7/2015 12:45,384
7/7/2015 13:00,336
7/7/2015 13:15,352
7/7/2015 13:30,432
7/7/2015 13:45,416
7/7/2015 14:00,448
7/7/2015 14:15,432
7/7/2015 14:30,464
7/7/2015 14:45,512
7/7/2015 15:00,448
7/7/2015 15:15,544
7/7/2015 15:30,560
7/7/2015 15:45,576
7/7/2015 16:00,624
7/7/2015 16:15,640
7/7/2015 16:30,672
7/7/2015 16:45,736
7/7/2015 17:00,720
7/7/2015 17:15,800
7/7/2015 17:30,912
7/7/2015 17:45,960
7/7/2015 18:00,1008
7/7/2015 18:15,1024
7/7/2015 18:30,1040
7/7/2015 18:45,1120
7/7/2015 19:00,1088
7/7/2015 19:15,1008
7/7/2015 19:30,1024
7/7/2015 19:45,1120
7/7/2015 20:00,1104
7/7/2015 20:15,1120
7/7/2015 20:30,1136
7/7/2015 20:45,1120
7/7/2015 21:00,1104
7/7/2015 21:15,1104
7/7/2015 21:30,1040
7/7/2015 21:45,1056
7/7/2015 22:00,1104
7/7/2015 22:15,1088
7/7/2015 22:30,1088
7/7/2015 22:45,1088
7/7/2015 23:00,1088
7/7/2015 23:15,960
7/7/2015 23:30,736
7/7/2015 23:45,704
7/8/2015 0:00,688
7/8/2015 0:15,672
7/8/2015 0:30,672
7/8/2015 0:45,688
7/8/2015 1:00,688
7/8/2015 1:15,672
7/8/2015 1:30,688
7/8/2015 1:45,672
7/8/2015 2:00,480
7/8/2015 2:15,352
7/8/2015 2:30,352
7/8/2015 2:45,352
7/8/2015 3:00,336
7/8/2015 3:15,336
7/8/2015 3:30,352
7/8/2015 3:45,336
7/8/2015 4:00,400
7/8/2015 4:15,560
7/8/2015 4:30,688
7/8/2015 4:45,672
7/8/2015 5:00,672
7/8/2015 5:15,672
7/8/2015 5:30,672
7/8/2015 5:45,704
7/8/2015 6:00,752
7/8/2015 6:15,736
7/8/2015 6:30,768
7/8/2015 6:45,976
7/8/2015 7:00,1008
7/8/2015 7:15,976
7/8/2015 7:30,992
7/8/2015 7:45,976
7/8/2015 8:00,976
7/8/2015 8:15,944
7/8/2015 8:30,880
7/8/2015 8:45,848
7/8/2015 9:00,896
7/8/2015 9:15,864
7/8/2015 9:30,832
7/8/2015 9:45,832
7/8/2015 10:00,624
7/8/2015 10:15,624
7/8/2015 10:30,384
7/8/2015 10:45,320
7/8/2015 11:00,368
7/8/2015 11:15,432
7/8/2015 11:30,400
7/8/2015 11:45,368
7/8/2015 12:00,368
7/8/2015 12:15,368
7/8/2015 12:30,352
7/8/2015 12:45,384
7/8/2015 13:00,288
7/8/2015 13:15,304
7/8/2015 13:30,400
7/8/2015 13:45,432
7/8/2015 14:00,432
7/8/2015 14:15,432
7/8/2015 14:30,448
7/8/2015 14:45,480
7/8/2015 15:00,432
7/8/2015 15:15,496
7/8/2015 15:30,560
7/8/2015 15:45,576
7/8/2015 16:00,608
7/8/2015 16:15,656
7/8/2015 16:30,672
7/8/2015 16:45,704
7/8/2015 17:00,736
7/8/2015 17:15,768
7/8/2015 17:30,864
7/8/2015 17:45,896
7/8/2015 18:00,976
7/8/2015 18:15,1008
7/8/2015 18:30,1024
7/8/2015 18:45,1056
7/8/2015 19:00,1040
7/8/2015 19:15,992
7/8/2015 19:30,1024
7/8/2015 19:45,1104
7/8/2015 20:00,1104
7/8/2015 20:15,1104
7/8/2015 20:30,1104
7/8/2015 20:45,1104
7/8/2015 21:00,1104
7/8/2015 21:15,1072
7/8/2015 21:30,1024
7/8/2015 21:45,1024
7/8/2015 22:00,1088
7/8/2015 22:15,1088
7/8/2015 22:30,1072
7/8/2015 22:45,1072
7/8/2015 23:00,1040
7/8/2015 23:15,976
7/8/2015 23:30,720
7/8/2015 23:45,688
7/9/2015 0:00,672
7/9/2015 0:15,688
7/9/2015 0:30,688
7/9/2015 0:45,672
7/9/2015 1:00,672
7/9/2015 1:15,672
7/9/2015 1:30,672
7/9/2015 1:45,672
7/9/2015 2:00,496
7/9/2015 2:15,352
7/9/2015 2:30,336
7/9/2015 2:45,352
7/9/2015 3:00,336
7/9/2015 3:15,336
7/9/2015 3:30,336
7/9/2015 3:45,368
7/9/2015 4:00,400
7/9/2015 4:15,544
7/9/2015 4:30,672
7/9/2015 4:45,688
7/9/2015 5:00,672
7/9/2015 5:15,672
7/9/2015 5:30,688
7/9/2015 5:45,688
7/9/2015 6:00,768
7/9/2015 6:15,736
7/9/2015 6:30,752
7/9/2015 6:45,944
7/9/2015 7:00,992
7/9/2015 7:15,960
7/9/2015 7:30,976
7/9/2015 7:45,944
7/9/2015 8:00,928
7/9/2015 8:15,880
7/9/2015 8:30,848
7/9/2015 8:45,800
7/9/2015 9:00,864
7/9/2015 9:15,816
7/9/2015 9:30,800
7/9/2015 9:45,832
7/9/2015 10:00,656
7/9/2015 10:15,592
7/9/2015 10:30,432
7/9/2015 10:45,416
7/9/2015 11:00,592
7/9/2015 11:15,560
7/9/2015 11:30,592
7/9/2015 11:45,416
7/9/2015 12:00,304
7/9/2015 12:15,320
7/9/2015 12:30,368
7/9/2015 12:45,368
7/9/2015 13:00,304
7/9/2015 13:15,320
7/9/2015 13:30,352
7/9/2015 13:45,400
7/9/2015 14:00,448
7/9/2015 14:15,416
7/9/2015 14:30,432
7/9/2015 14:45,416
7/9/2015 15:00,448
7/9/2015 15:15,448
7/9/2015 15:30,528
7/9/2015 15:45,512
7/9/2015 16:00,576
7/9/2015 16:15,592
7/9/2015 16:30,640
7/9/2015 16:45,672
7/9/2015 17:00,720
7/9/2015 17:15,752
7/9/2015 17:30,912
7/9/2015 17:45,896
7/9/2015 18:00,928
7/9/2015 18:15,992
7/9/2015 18:30,1040
7/9/2015 18:45,1056
7/9/2015 19:00,1008
7/9/2015 19:15,960
7/9/2015 19:30,992
7/9/2015 19:45,1088
7/9/2015 20:00,1120
7/9/2015 20:15,1072
7/9/2015 20:30,1072
7/9/2015 20:45,1056
7/9/2015 21:00,1072
7/9/2015 21:15,1040
7/9/2015 21:30,1008
7/9/2015 21:45,1008
7/9/2015 22:00,1072
7/9/2015 22:15,1088
7/9/2015 22:30,1072
7/9/2015 22:45,1072
7/9/2015 23:00,1040
7/9/2015 23:15,912
7/9/2015 23:30,720
7/9/2015 23:45,704
7/10/2015 0:00,672
7/10/2015 0:15,672
7/10/2015 0:30,672
7/10/2015 0:45,672
7/10/2015 1:00,688
7/10/2015 1:15,672
7/10/2015 1:30,656
7/10/2015 1:45,656
7/10/2015 2:00,496
7/10/2015 2:15,336
7/10/2015 2:30,352
7/10/2015 2:45,336
7/10/2015 3:00,336
7/10/2015 3:15,352
7/10/2015 3:30,336
7/10/2015 3:45,336
7/10/2015 4:00,416
7/10/2015 4:15,528
7/10/2015 4:30,672
7/10/2015 4:45,672
7/10/2015 5:00,672
7/10/2015 5:15,688
7/10/2015 5:30,672
7/10/2015 5:45,688
7/10/2015 6:00,736
7/10/2015 6:15,752
7/10/2015 6:30,736
7/10/2015 6:45,736
7/10/2015 7:00,704
7/10/2015 7:15,688
7/10/2015 7:30,896
7/10/2015 7:45,944
7/10/2015 8:00,928
7/10/2015 8:15,928
7/10/2015 8:30,848
